eg_property_id,acquisition_date,facet,bucket,score,threshold,snippet
ff26cdda236b233f7c481f0e896814075ac6bed335e162e0ff01d5491343f838,2025-12-29,pet,semantic_only_top,0.535574,0.45,limited amenities and charged extra cleaning fees for no reason when we asked during checkout
db38b19b897dbece3e34919c662b3fd66d23b615395d11fb69264dd3a9b17723,2023-03-02,pet,semantic_only_top,0.5073583,0.45,"room was only supposed to be $110 and they charged me $161 which was way out of my price range. i know that the rate could possibly go up, but that is a bit much. ive had to pay extra in the past at other places but it w"
7d027ef72c02eaa17af3c993fd5dba50d17b41a6280389a46c13c7e2c32a5b06,2023-03-02,pet,semantic_only_top,0.5069754,0.45,the property did not have my expedia reservation then charged more than the expedia rate.  very upsetting
ff26cdda236b233f7c481f0e896814075ac6bed335e162e0ff01d5491343f838,2023-03-02,pet,semantic_only_top,0.48924837,0.45,"stay was nice, but reservation got changed without my doing and got charged an extra night when i had already paid for the 2 we were staying. overall disappointed and will not be staying again"
fa014137b3ea9af6a90c0a86a1d099e46f7e56d6eb33db1ad1ec4bdac68c3caa,2025-04-02,pet,semantic_only_top,0.48769188,0.45,inflexible. entered a reservation for wrong date in error. property refuses to honor change request and charged $200! penalty despite being contacted within an hour of the mistaken reservation entry
ff26cdda236b233f7c481f0e896814075ac6bed335e162e0ff01d5491343f838,2024-02-05,pet,semantic_only_borderline,0.45178473,0.45,great hotel
ff26cdda236b233f7c481f0e896814075ac6bed335e162e0ff01d5491343f838,2024-06-25,pet,semantic_only_borderline,0.45178473,0.45,great hotel
ff26cdda236b233f7c481f0e896814075ac6bed335e162e0ff01d5491343f838,2025-11-25,pet,semantic_only_borderline,0.45178473,0.45,great hotel
db38b19b897dbece3e34919c662b3fd66d23b615395d11fb69264dd3a9b17723,2025-10-25,pet,semantic_only_borderline,0.4588704,0.45,very friendly staff and clean hotel
3216b1b7885bffdb336265a8de7322ba0cd477cfb3d4f99d19acf488f76a1941,2023-03-02,pet,semantic_only_borderline,0.46012574,0.45,not good. i didn’t even check in that night an i was charged the holed amount i think that’s right
db38b19b897dbece3e34919c662b3fd66d23b615395d11fb69264dd3a9b17723,2023-03-02,pet,lexical_only,0.44054615,0.45,the staff was super friendly and accommodating! we had a stressful travel day and they made sure to take great care of us and our dogs!
7d027ef72c02eaa17af3c993fd5dba50d17b41a6280389a46c13c7e2c32a5b06,2023-03-02,pet,lexical_only,0.42151433,0.45,"overall, the property was ok. did not realize it was a pet friendly property and someone had let their dog poop in the hallway and did not clean it up. our shower curtain would not stay closed because the rack was fallin"
7d027ef72c02eaa17af3c993fd5dba50d17b41a6280389a46c13c7e2c32a5b06,2025-12-22,pet,lexical_only,0.41134575,0.45,no decent place for a dog to go do their thing unless you have a toy size dog! the vending machines were not workin g so i had to go to the gross gas station next door to get water. the hotel sits right next to the expre
7d027ef72c02eaa17af3c993fd5dba50d17b41a6280389a46c13c7e2c32a5b06,2023-03-02,pet,lexical_only,0.39311525,0.45,we picked this hotel because of the ability to take our cat with us as we were having work done on our house.  we stayed 2 nights and next time we will choose another establishment.  the floors were tile in our room whic
ff26cdda236b233f7c481f0e896814075ac6bed335e162e0ff01d5491343f838,2024-05-30,pet,lexical_only,0.38087553,0.45,i literally asked my husband when i got to the room how much we paid for our stay.  unbelievable hotel great price great bar great atmosphere our pet loved it and the park near by. ray the front desk great guy!!! he hand
fa014137b3ea9af6a90c0a86a1d099e46f7e56d6eb33db1ad1ec4bdac68c3caa,2023-03-02,check_in,semantic_only_top,0.6434676,0.45,check- in was at 3pm .. they checked us in but the room was not ready at all!! we were made to wait for almost an hour in the corridor because the room was in the 3rd floor and it was a hassle for us to go down again wit
db38b19b897dbece3e34919c662b3fd66d23b615395d11fb69264dd3a9b17723,2023-03-02,check_in,semantic_only_top,0.63689643,0.45,"checking in was simple and quick. employees were polite and greeted at all times. the room itself was fine; however, there was no microwave in the room and the coffee machine looked like it hadn’t been used in months"
3216b1b7885bffdb336265a8de7322ba0cd477cfb3d4f99d19acf488f76a1941,2025-05-31,check_in,semantic_only_top,0.6228502,0.45,always a fast and easy check. staff is friendly and no hassle. good clean rooms no problems
fa014137b3ea9af6a90c0a86a1d099e46f7e56d6eb33db1ad1ec4bdac68c3caa,2023-03-02,check_in,semantic_only_top,0.60293466,0.45,"we enjoyed our stay. great location. but when we checked in, our room was not ready yet and we have to wait for at least 20 mins"
3216b1b7885bffdb336265a8de7322ba0cd477cfb3d4f99d19acf488f76a1941,2023-06-06,check_in,semantic_only_top,0.5896838,0.45,2 day stay . super clean and friendly staff ...very satisfied ..i checked in late and clerk was very helpful and checked me in extremely fast
823fb2499b4e37d99acb65e7198e75965d6496fd1c579f976205c0e6179206df,2024-09-10,check_in,semantic_only_borderline,0.45031023,0.45,"テルミニ駅近で便利. チェックイン時の説明が丁寧でわかりやすかったです。対応も良かったです。
チェックイン前・後とも荷物を預かってもらえます。
テルミニ駅から近いので利便性がいいです。
ホテルの部屋も綺麗で満足でした。"
7d027ef72c02eaa17af3c993fd5dba50d17b41a6280389a46c13c7e2c32a5b06,2023-03-16,check_in,semantic_only_borderline,0.4503732,0.45,i loved the suite we upgraded to with the jetted tub in the room. my husband and i stayed there the night of our wedding and it was perfect! the room was huge with a nice bathroom. the hot tub was also huge (definitely b
fa014137b3ea9af6a90c0a86a1d099e46f7e56d6eb33db1ad1ec4bdac68c3caa,2023-08-05,check_in,semantic_only_borderline,0.45059088,0.45,very cordial staff
ff26cdda236b233f7c481f0e896814075ac6bed335e162e0ff01d5491343f838,2024-06-20,check_in,semantic_only_borderline,0.4507262,0.45,"great property. staff was very friendly. room was nice and clean and decor was updated! 
would stay here again!"
ff26cdda236b233f7c481f0e896814075ac6bed335e162e0ff01d5491343f838,2024-09-06,check_in,semantic_only_borderline,0.45086902,0.45,great place to stay. very friendly staff
7d027ef72c02eaa17af3c993fd5dba50d17b41a6280389a46c13c7e2c32a5b06,2025-01-21,check_in,lexical_only,0.4497141,0.45,"overall the experience was good. we had to ask for a second roll of toilet paper and we only had 3 towels for two adults and two kids. i believe this to be an error on the part of the staff though. the property, the chec"
db38b19b897dbece3e34919c662b3fd66d23b615395d11fb69264dd3a9b17723,2023-03-17,check_in,lexical_only,0.44964015,0.45,"i purchased a mountain view room and when i arrived i was put in a room on the other side. their excuse was it was because i purchased through a third-party and the information didn’t transfer. fortunately, they had a mo"
7d027ef72c02eaa17af3c993fd5dba50d17b41a6280389a46c13c7e2c32a5b06,2023-03-02,check_in,lexical_only,0.4496175,0.45,we spent 3 nights at this hotel they refused to give us an extra towel so we hung up our towels hoping to get 2 more and they took them and replaced them but not anything else they didn’t make the bed. i called the front
f2d8d9557208d58577e9df7ff34e42bf86fb5b10fdfae0c3040d14c374a2a2b9,2023-03-02,check_in,lexical_only,0.44944793,0.45,proximity to the beach is its greatest asset!. booked a room with 2dbl beds but was provided one with a king size and a pull-out sofa. we arrived late and were tired so decided to try it....had to spend a miserable night
fa014137b3ea9af6a90c0a86a1d099e46f7e56d6eb33db1ad1ec4bdac68c3caa,2023-03-02,check_in,lexical_only,0.44925904,0.45,"de kamers waren erg rumoerig, we konden letterlijk verstaan wat de buren vertelden. helaas waren ze ook de lobby aan het verbouwen dus incheck/ontbijt was een beetje rommelig. we hadden dit graag voor het boeken gehoord."
fa014137b3ea9af6a90c0a86a1d099e46f7e56d6eb33db1ad1ec4bdac68c3caa,2023-03-15,check_out,semantic_only_top,0.65124184,0.4,very easy check in
db38b19b897dbece3e34919c662b3fd66d23b615395d11fb69264dd3a9b17723,2025-09-30,check_out,semantic_only_top,0.61881423,0.4,easy check in and out
3216b1b7885bffdb336265a8de7322ba0cd477cfb3d4f99d19acf488f76a1941,2024-06-11,check_out,semantic_only_top,0.5941821,0.4,quick and easy check in
fa014137b3ea9af6a90c0a86a1d099e46f7e56d6eb33db1ad1ec4bdac68c3caa,2023-07-28,check_out,semantic_only_top,0.59134257,0.4,friendly and courteous staff. check in and out was easy
7d027ef72c02eaa17af3c993fd5dba50d17b41a6280389a46c13c7e2c32a5b06,2024-04-02,check_out,semantic_only_top,0.57152736,0.4,easy check in and out. had a very good breakfast.was real clean and the staff was very helpful
7d027ef72c02eaa17af3c993fd5dba50d17b41a6280389a46c13c7e2c32a5b06,2023-03-02,check_out,semantic_only_borderline,0.4003853,0.4,"the room was a good size and the beds are large. easy to get to from the highway...but
1) asked for extra towels, they never came, called back and was told if someone was still there from housekeeping i could have some.
"
3216b1b7885bffdb336265a8de7322ba0cd477cfb3d4f99d19acf488f76a1941,2025-11-26,check_out,semantic_only_borderline,0.40076444,0.4,very easy check in no hassle parking on site standard room is clean and simple queen suit is great with nice lounge area with couch super amazing spacious ceiling shower and nice bed room area king suit is the best with 
7d027ef72c02eaa17af3c993fd5dba50d17b41a6280389a46c13c7e2c32a5b06,2023-03-02,check_out,semantic_only_borderline,0.40083995,0.4,the first room we had the ac didn’t work so they switched our rooms. then that room the ac worked but it didn’t work very good. then the toilet kept running and wouldn’t flush so my husband checked it & the chain in the 
fa014137b3ea9af6a90c0a86a1d099e46f7e56d6eb33db1ad1ec4bdac68c3caa,2023-03-02,check_out,semantic_only_borderline,0.4009582,0.4,"localização . hotel muito bem localizado, quarto confortável e limpo.... chegamos um pouco antes do horário de checkin.... perguntei se era possível fazer o checkin naquele horário ou não.... o funcionário nos disse sim "
7d027ef72c02eaa17af3c993fd5dba50d17b41a6280389a46c13c7e2c32a5b06,2023-03-16,check_out,semantic_only_borderline,0.40178096,0.4,staff was almost unavailable. no toilet paper in the room. no extra bedding for the fold out hardly any towels in the room. vending machines were empty. clean but missing a lot of the typical extras. staff was nice but h
7d027ef72c02eaa17af3c993fd5dba50d17b41a6280389a46c13c7e2c32a5b06,2023-11-08,check_out,lexical_only,0.39864886,0.4,"the room smelled like cat pee, the hallway carpets desperately needed cleaning and clearly hadn’t been vacuumed in days. there was hair in the shower. the curtains were falling off the rod. the phone didn’t work. chunks "
3216b1b7885bffdb336265a8de7322ba0cd477cfb3d4f99d19acf488f76a1941,2023-03-16,check_out,lexical_only,0.39826918,0.4,"the room is smell when we get inside and we ask the attendant to change the room and the other room is smell too,so we check out the same day"
ff26cdda236b233f7c481f0e896814075ac6bed335e162e0ff01d5491343f838,2025-12-01,check_out,lexical_only,0.39745983,0.4,"the staff was very nice and helpful, however the facility and accommodations were a bit lacking. there was no frig or microwave in the room, the coffee maker in the room was terrible, and they did not have coffee even in"
db38b19b897dbece3e34919c662b3fd66d23b615395d11fb69264dd3a9b17723,2023-05-30,check_out,lexical_only,0.389554,0.4,the location was great! staff was friendly and accommodating. checkin and checkout were very efficient. the property is gorgeous and loaded with amenities!
823fb2499b4e37d99acb65e7198e75965d6496fd1c579f976205c0e6179206df,2024-06-04,check_out,lexical_only,0.38862962,0.4,"staff was outstanding! very helpful. front desk helped arrange a late check out (child had a rough night, so the extra time allowed time to recouperate); the breakfast staff were warm, welcoming and always smiling; house"
3216b1b7885bffdb336265a8de7322ba0cd477cfb3d4f99d19acf488f76a1941,2024-07-27,amenities_pool,semantic_only_top,0.5666728,0.45,"it was nice, there was a jet tub in our room with two toilets and everything was new and nice! really enjoyed it! the only thing i’ll say is i found hair in the bedding and the bed wasn’t the most comfortable. but it was"
db38b19b897dbece3e34919c662b3fd66d23b615395d11fb69264dd3a9b17723,2023-03-16,amenities_pool,semantic_only_top,0.5604678,0.45,it was very clean and well maintained
db38b19b897dbece3e34919c662b3fd66d23b615395d11fb69264dd3a9b17723,2025-05-18,amenities_pool,semantic_only_top,0.55571926,0.45,i enjoyed our stay. the room was clean and comfortable and the resort had all the amenities we wanted
db38b19b897dbece3e34919c662b3fd66d23b615395d11fb69264dd3a9b17723,2024-07-07,amenities_pool,semantic_only_top,0.5530104,0.45,amazing service and the pools are fantastic!
db38b19b897dbece3e34919c662b3fd66d23b615395d11fb69264dd3a9b17723,2023-07-28,amenities_pool,semantic_only_top,0.55062085,0.45,the pools are fantastic
db38b19b897dbece3e34919c662b3fd66d23b615395d11fb69264dd3a9b17723,2023-04-18,amenities_pool,semantic_only_borderline,0.45021588,0.45,"we loved this hotel, so clean and comfortable"
ff26cdda236b233f7c481f0e896814075ac6bed335e162e0ff01d5491343f838,2023-03-02,amenities_pool,semantic_only_borderline,0.45069605,0.45,"location was great.
 hotel was nice and clean"
ff26cdda236b233f7c481f0e896814075ac6bed335e162e0ff01d5491343f838,2025-10-21,amenities_pool,semantic_only_borderline,0.45077384,0.45,very clean and staff is super nice
ff26cdda236b233f7c481f0e896814075ac6bed335e162e0ff01d5491343f838,2024-08-13,amenities_pool,semantic_only_borderline,0.45081097,0.45,very nice amd clean hotel
db38b19b897dbece3e34919c662b3fd66d23b615395d11fb69264dd3a9b17723,2024-05-31,amenities_pool,semantic_only_borderline,0.4509674,0.45,a very nice property. attentive staff and a very clean facility
ff26cdda236b233f7c481f0e896814075ac6bed335e162e0ff01d5491343f838,2025-07-21,amenities_pool,lexical_only,0.44991636,0.45,the room was nice! it was quiet! my only complaint would be the bed was a bit harder than i’d like but not too bad where i couldn’t sleep! the staff was very nice and i loved how they text you with updates on pool closur
db38b19b897dbece3e34919c662b3fd66d23b615395d11fb69264dd3a9b17723,2023-03-02,amenities_pool,lexical_only,0.44681957,0.45,"where to begin. bland room, view of the parking lot, was brought uncooked food, the hot tub/ jacuzzi tub was cold, outdoors and no bubbles, ice machine out of order on my floor, no spa available during my stay. this is b"
db38b19b897dbece3e34919c662b3fd66d23b615395d11fb69264dd3a9b17723,2024-12-28,amenities_pool,lexical_only,0.44665724,0.45,2nd time staying here.  cozy quiet and well maintained hotel with a bar and dining options and heated pools and jacuzzi all year around
f2d8d9557208d58577e9df7ff34e42bf86fb5b10fdfae0c3040d14c374a2a2b9,2023-03-16,amenities_pool,lexical_only,0.44480222,0.45,nice basic place to stay.. |MASK| |MASK| was a very nice place to stay. i had little interaction with the staff but what contact i did have was very good. i arrived late (after the front desk had closed) and called the n
ff26cdda236b233f7c481f0e896814075ac6bed335e162e0ff01d5491343f838,2023-03-16,amenities_pool,lexical_only,0.44472274,0.45,we stayed one night and it was great. hotel was clean except for a couple of hairs found on the bed. check in was quick and easy and service was friendly. pool was small but looked nice. bar closed at 9. hotel was quiet 
7d027ef72c02eaa17af3c993fd5dba50d17b41a6280389a46c13c7e2c32a5b06,2024-02-27,amenities_wifi,semantic_only_top,0.5163523,0.4,toilet not working properly.  wireless very slow. used wireless from hotel next door.  elevator sooo slow. room was not as pictured not a suite as reserved
3216b1b7885bffdb336265a8de7322ba0cd477cfb3d4f99d19acf488f76a1941,2024-08-06,amenities_wifi,semantic_only_top,0.45561624,0.4,it was fast and super clean
3216b1b7885bffdb336265a8de7322ba0cd477cfb3d4f99d19acf488f76a1941,2023-03-02,amenities_wifi,semantic_only_top,0.44798473,0.4,it was comfortable and clean. checkin was swift and there were no over charging or hidden fees
fa014137b3ea9af6a90c0a86a1d099e46f7e56d6eb33db1ad1ec4bdac68c3caa,2023-03-17,amenities_wifi,semantic_only_top,0.42261493,0.4,staff very helpful and friendly. check in and check out were fast. breakfast was good
fa014137b3ea9af6a90c0a86a1d099e46f7e56d6eb33db1ad1ec4bdac68c3caa,2023-03-02,amenities_wifi,semantic_only_top,0.41792902,0.4,"close to hotspots, excellent parking, check in was quick and friendly"
823fb2499b4e37d99acb65e7198e75965d6496fd1c579f976205c0e6179206df,2024-01-30,amenities_wifi,semantic_only_borderline,0.4018222,0.4,川沿いの静かなホテル. ロケーションは良いがスタッフの中で感じの悪い人が数人いるので非常に残念だ。wi-fiのレスポンスが悪い。
7d027ef72c02eaa17af3c993fd5dba50d17b41a6280389a46c13c7e2c32a5b06,2024-08-03,amenities_wifi,semantic_only_borderline,0.40442452,0.4,the only problem i had was my room didn’t have a phone. other than that everything was excellent
3216b1b7885bffdb336265a8de7322ba0cd477cfb3d4f99d19acf488f76a1941,2025-03-18,amenities_wifi,semantic_only_borderline,0.40659568,0.4,check in was fast and easy. property was quiet and near yummy restaurants
fa014137b3ea9af6a90c0a86a1d099e46f7e56d6eb33db1ad1ec4bdac68c3caa,2023-03-02,amenities_wifi,semantic_only_borderline,0.41792902,0.4,"close to hotspots, excellent parking, check in was quick and friendly"
fa014137b3ea9af6a90c0a86a1d099e46f7e56d6eb33db1ad1ec4bdac68c3caa,2023-03-17,amenities_wifi,semantic_only_borderline,0.42261493,0.4,staff very helpful and friendly. check in and check out were fast. breakfast was good
9a0043fd4258a1286db1e253ca591662b3aac849da12d0d4f67e08b8f59be65f,2024-08-16,amenities_wifi,lexical_only,0.39661202,0.4,"nice quiet suburban hotel with excellent transport link 5min to city centre and university 

wifi was being repaired but there was an open neighbourhood wifi suite which was adequate"
db38b19b897dbece3e34919c662b3fd66d23b615395d11fb69264dd3a9b17723,2023-03-02,amenities_wifi,lexical_only,0.39622903,0.4,"although the hotel had set up special food options the bbq was over salted.  also, why do you have to pay for wifi at a hotel of this rating?"
7d027ef72c02eaa17af3c993fd5dba50d17b41a6280389a46c13c7e2c32a5b06,2023-03-17,amenities_wifi,lexical_only,0.39475143,0.4,"close right off xway for overnight stay. lots of choices of restaurants, very clean and better than average breakfest. only neg. was front road construction tough to enter had to go thru gas station. did have trouble wit"
3216b1b7885bffdb336265a8de7322ba0cd477cfb3d4f99d19acf488f76a1941,2023-03-02,amenities_wifi,lexical_only,0.39042544,0.4,"spacious room and stable wifi and our car can be parked just outside our room.

not many restaurants around!"
